31
ATL,33.6407,-84.4277
DFW,32.8998,-97.0403
DEN,39.8561,-104.6737
ORD,41.9742,-87.9073
LAX,33.9416,-118.4085
JFK,40.6413,-73.7781
LAS,36.085,-115.1511
MCO,28.4312,-81.3081
MIA,25.7959,-80.287
CLT,35.214,-80.9431
SEA,47.4502,-122.3088
PHX,33.4342,-112.0116
EWR,40.6895,-74.1745
SFO,37.6213,-122.379
IAH,29.9874,-95.3436
BOS,42.3656,-71.0096
FLL,26.0727,-80.1528
MSP,44.881,-93.2218
LGA,40.7769,-73.874
DTW,42.2121,-83.3488
PHL,39.8721,-75.2409
SLC,40.7899,-111.9791
DCA,38.8521,-77.0377
SAN,32.7336,-117.1897
BWI,39.1774,-76.6684
TPA,27.9755,-82.5334
AUS,30.2025,-97.6657
IAD,38.9531,-77.4565
BNA,36.1245,-86.6782
MDW,41.7859,-87.7523
PARIS,2.547778,49.009724
