90
290.94,TPASLC,TPA,SLC,6,5,0,12,10,0,3258.479431
90.17,TPAJFK,TPA,JFK,5,10,0,8,0,0,1009.848112
53.62,TPAIAD,TPA,IAD,11,15,0,13,30,0,600.5581805
104.21,SLCSFO,SLC,SFO,6,5,0,9,20,0,1167.180761
27.34,SLCPHX,SLC,PHX,7,0,0,8,40,0,306.1757503
284.23,SLCDTW,SLC,DTW,5,10,0,11,10,0,3183.366546
394.72,SFOTPA,SFO,TPA,7,0,0,15,25,0,4420.83687
43.52,SFOLAX,SFO,LAX,5,10,0,7,15,0,487.4404296
478.42,SFOEWR,SFO,EWR,6,5,0,15,10,0,5358.306644
119.73,SEAPHX,SEA,PHX,7,0,0,10,30,0,1340.99532
403.22,SEAMCO,SEA,MCO,6,5,0,15,30,0,4516.084783
374.70,SEAATL,SEA,ATL,5,10,0,14,10,0,4196.596244
238.76,SANMSP,SAN,MSP,7,0,0,12,15,0,2674.112561
359.80,SANCLT,SAN,CLT,7,55,0,15,5,0,4029.711812
325.26,SANATL,SAN,ATL,5,10,0,11,50,0,3642.902723
304.59,PHXMCO,PHX,MCO,5,10,0,12,0,0,3411.379954
165.61,PHXIAH,PHX,IAH,7,0,0,11,20,0,1854.798981
251.48,PHXBNA,PHX,BNA,6,5,0,11,35,0,2816.589142
80.60,PHLDTW,PHL,DTW,6,5,0,8,45,0,902.6681252
216.07,PHLDFW,PHL,DFW,5,10,0,10,25,0,2420.018148
221.92,PHLAUS,PHL,AUS,7,0,0,12,15,0,2485.44827
54.20,ORDTPA,ORD,TPA,9,55,0,12,15,0,607.0617605
341.45,ORDSEA,ORD,SEA,5,10,0,12,5,0,3824.267746
270.38,ORDLAS,ORD,LAS,6,5,0,12,20,0,3028.232179
128.45,MSPFLL,MSP,FLL,6,5,0,9,45,0,1438.674775
164.22,MSPBWI,MSP,BWI,5,10,0,9,25,0,1839.218903
220.50,MSPBOS,MSP,BOS,7,55,0,13,15,0,2469.586958
127.09,MIAMSP,MIA,MSP,7,0,0,10,25,0,1423.374244
149.39,MIAIAH,MIA,IAH,6,5,0,9,50,0,1673.186567
68.45,MIAEWR,MIA,EWR,5,10,0,7,40,0,766.6243976
124.23,MDWPHL,MDW,PHL,7,0,0,10,35,0,1391.368099
137.79,MDWLGA,MDW,LGA,5,10,0,9,0,0,1543.241414
102.25,MDWIAD,MDW,IAD,6,5,0,9,15,0,1145.211692
66.27,MCOORD,MCO,ORD,8,50,0,11,15,0,742.2553983
77.96,MCOLGA,MCO,LGA,5,10,0,7,45,0,873.128739
230.89,MCODEN,MCO,DEN,7,0,0,12,10,0,2585.923881
137.79,LGAMDW,LGA,MDW,10,50,0,14,25,0,1543.241414
69.96,LGAFLL,LGA,FLL,5,10,0,7,50,0,783.5939619
31.77,LGADCA,LGA,DCA,9,55,0,11,45,0,355.8222937
77.85,LAXSEA,LAX,SEA,6,5,0,8,40,0,871.9403111
438.43,LAXEWR,LAX,EWR,5,10,0,13,35,0,4910.382729
337.36,LAXATL,LAX,ATL,8,10,0,15,35,0,3778.485302
344.99,LASMIA,LAS,MIA,7,0,0,14,30,0,3863.841051
339.61,LASCLT,LAS,CLT,6,5,0,13,30,0,3803.668448
174.16,LASAUS,LAS,AUS,5,10,0,9,35,0,1950.607952
78.80,JFKMCO,JFK,MCO,7,0,0,9,45,0,882.5135784
442.36,JFKLAX,JFK,LAX,5,10,0,14,25,0,4954.43814
410.43,JFKLAS,JFK,LAS,6,5,0,14,45,0,4596.849843
166.38,IAHSLC,IAH,SLC,6,5,0,10,5,0,1863.479565
149.39,IAHMIA,IAH,MIA,5,10,0,9,15,0,1673.186567
240.62,IAHBOS,IAH,BOS,12,15,0,17,35,0,2694.904506
156.38,IADMSP,IAD,MSP,5,10,0,9,0,0,1751.490239
36.75,IADJFK,IAD,JFK,7,0,0,8,55,0,411.6262536
36.36,IADFLL,IAD,FLL,11,35,0,13,35,0,407.1840245
417.65,FLLSFO,FLL,SFO,6,5,0,14,15,0,4677.735743
67.09,FLLEWR,FLL,EWR,8,45,0,11,10,0,751.4597574
43.15,FLLBWI,FLL,BWI,5,10,0,7,10,0,483.2722953
374.89,EWRPHX,EWR,PHX,6,5,0,14,10,0,4198.786666
209.47,EWRIAH,EWR,IAH,8,35,0,13,40,0,2346.090648
68.14,EWRCLT,EWR,CLT,5,10,0,7,45,0,763.1492435
335.24,DTWSAN,DTW,SAN,5,10,0,12,30,0,3754.662073
37.95,DTWMIA,DTW,MIA,9,40,0,11,40,0,424.9923883
43.72,DTWMDW,DTW,MDW,6,5,0,8,10,0,489.6572877
143.89,DFWTPA,DFW,TPA,6,5,0,10,0,0,1611.597808
92.01,DFWMDW,DFW,MDW,7,0,0,9,50,0,1030.498435
198.34,DFWDCA,DFW,DCA,5,10,0,9,45,0,2221.425232
175.97,DENSFO,DEN,SFO,8,35,0,13,5,0,1970.899814
235.42,DENCLT,DEN,CLT,6,5,0,12,35,0,2636.65079
334.14,DENBOS,DEN,BOS,5,10,0,11,55,0,3742.368451
57.59,DCATPA,DCA,TPA,6,5,0,8,30,0,644.9905224
346.85,DCASLC,DCA,SLC,7,0,0,14,0,0,3884.772325
62.89,DCADTW,DCA,DTW,5,10,0,7,35,0,704.3459713
308.42,CLTPHX,CLT,PHX,5,10,0,12,5,0,3454.308182
371.94,CLTLAX,CLT,LAX,8,40,0,16,40,0,4165.768987
56.95,CLTBNA,CLT,BNA,6,5,0,8,20,0,637.7874447
452.10,BWISEA,BWI,SEA,5,10,0,14,45,0,5063.543036
28.93,BWIJFK,BWI,JFK,10,20,0,12,5,0,324.0321996
201.98,BWIDFW,BWI,DFW,6,5,0,12,10,0,2262.14837
509.57,BOSSFO,BOS,SFO,5,10,0,15,40,0,5707.145754
99.83,BOSMIA,BOS,MIA,7,0,0,10,10,0,1118.103848
31.81,BOSEWR,BOS,EWR,7,55,0,9,50,0,356.2753208
95.76,BNADCA,BNA,DCA,5,10,0,8,5,0,1072.534744
56.95,BNACLT,BNA,CLT,7,25,0,9,50,0,637.7874447
108.96,BNAAUS,BNA,AUS,12,30,0,15,50,0,1220.374654
200.08,AUSIAD,AUS,IAD,6,5,0,10,40,0,2240.93305
71.77,AUSDEN,AUS,DEN,5,10,0,7,40,0,803.853221
108.96,AUSBNA,AUS,BNA,7,0,0,10,5,0,1220.374654
34.90,ATLORD,ATL,ORD,7,0,0,8,55,0,390.8241681
125.22,ATLDFW,ATL,DFW,5,10,0,8,45,0,1402.428099
200.77,ATLDEN,ATL,DEN,6,5,0,10,40,0,2248.589087
